[2026-03-17 05:17:36.675] [Download] === START === file=The.Godfather.Part.2.1974.1080p.BrRip.x264.BOKUTOX.YIFY.mp4 fragment_size=524288 compression=false
[2026-03-17 05:17:36.676] [Download] All sources from Directory:
[2026-03-17 05:17:36.680] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 05:17:36.681] [Download] Using 1 source(s):
[2026-03-17 05:17:36.681] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 05:17:37.377] [Download] File size: 2901310881 bytes (2833311 KB)
[2026-03-17 05:17:37.388] [Download] Fragments: 5534 x 512KB, sources: 1
[2026-03-17 05:21:25.045] [FRAG] idx=114 offset=59768832 len=524288 source=13.39.21.10:6000 time_ms=1999 speed_KB/s=256 progress=2%
[2026-03-17 05:21:27.045] [FRAG] idx=115 offset=60293120 len=524288 source=13.39.21.10:6000 time_ms=1999 speed_KB/s=256 progress=2%
[2026-03-17 05:21:28.968] [FRAG] idx=116 offset=60817408 len=524288 source=13.39.21.10:6000 time_ms=1922 speed_KB/s=266 progress=2%
[2026-03-17 05:21:30.881] [FRAG] idx=117 offset=61341696 len=524288 source=13.39.21.10:6000 time_ms=1912 speed_KB/s=267 progress=2%
[2026-03-17 05:21:32.877] [FRAG] idx=118 offset=61865984 len=524288 source=13.39.21.10:6000 time_ms=1995 speed_KB/s=256 progress=2%
[2026-03-17 05:21:34.888] [FRAG] idx=119 offset=62390272 len=524288 source=13.39.21.10:6000 time_ms=2010 speed_KB/s=254 progress=2%
[2026-03-17 05:21:36.886] [FRAG] idx=120 offset=62914560 len=524288 source=13.39.21.10:6000 time_ms=1997 speed_KB/s=256 progress=2%
[2026-03-17 05:21:38.795] [FRAG] idx=121 offset=63438848 len=524288 source=13.39.21.10:6000 time_ms=1909 speed_KB/s=268 progress=2%
[2026-03-17 05:21:40.794] [FRAG] idx=122 offset=63963136 len=524288 source=13.39.21.10:6000 time_ms=1998 speed_KB/s=256 progress=2%
[2026-03-17 05:21:42.717] [FRAG] idx=123 offset=64487424 len=524288 source=13.39.21.10:6000 time_ms=1922 speed_KB/s=266 progress=2%
[2026-03-17 05:21:44.649] [FRAG] idx=124 offset=65011712 len=524288 source=13.39.21.10:6000 time_ms=1932 speed_KB/s=265 progress=2%
[2026-03-17 05:21:46.654] [FRAG] idx=125 offset=65536000 len=524288 source=13.39.21.10:6000 time_ms=2005 speed_KB/s=255 progress=2%
[2026-03-17 05:21:48.569] [FRAG] idx=126 offset=66060288 len=524288 source=13.39.21.10:6000 time_ms=1914 speed_KB/s=267 progress=2%
[2026-03-17 05:21:50.568] [FRAG] idx=127 offset=66584576 len=524288 source=13.39.21.10:6000 time_ms=1998 speed_KB/s=256 progress=2%
[2026-03-17 05:21:52.567] [FRAG] idx=128 offset=67108864 len=524288 source=13.39.21.10:6000 time_ms=1999 speed_KB/s=256 progress=2%
[2026-03-17 05:21:54.578] [FRAG] idx=129 offset=67633152 len=524288 source=13.39.21.10:6000 time_ms=2011 speed_KB/s=254 progress=2%
[2026-03-17 05:21:56.491] [FRAG] idx=130 offset=68157440 len=524288 source=13.39.21.10:6000 time_ms=1913 speed_KB/s=267 progress=2%
[2026-03-17 05:21:58.494] [FRAG] idx=131 offset=68681728 len=524288 source=13.39.21.10:6000 time_ms=2003 speed_KB/s=255 progress=2%
[2026-03-17 05:22:00.488] [FRAG] idx=132 offset=69206016 len=524288 source=13.39.21.10:6000 time_ms=1994 speed_KB/s=256 progress=2%
[2026-03-17 05:22:02.493] [FRAG] idx=133 offset=69730304 len=524288 source=13.39.21.10:6000 time_ms=2004 speed_KB/s=255 progress=2%
[2026-03-17 05:22:04.503] [FRAG] idx=134 offset=70254592 len=524288 source=13.39.21.10:6000 time_ms=2009 speed_KB/s=254 progress=2%
[2026-03-17 05:22:06.489] [FRAG] idx=135 offset=70778880 len=524288 source=13.39.21.10:6000 time_ms=1986 speed_KB/s=257 progress=2%
[2026-03-17 05:22:08.407] [FRAG] idx=136 offset=71303168 len=524288 source=13.39.21.10:6000 time_ms=1917 speed_KB/s=267 progress=2%
[2026-03-17 05:22:10.337] [FRAG] idx=137 offset=71827456 len=524288 source=13.39.21.10:6000 time_ms=1929 speed_KB/s=265 progress=2%
[2026-03-17 05:22:12.261] [FRAG] idx=138 offset=72351744 len=524288 source=13.39.21.10:6000 time_ms=1923 speed_KB/s=266 progress=2%
[2026-03-17 05:22:14.258] [FRAG] idx=139 offset=72876032 len=524288 source=13.39.21.10:6000 time_ms=1996 speed_KB/s=256 progress=2%
[2026-03-17 05:22:16.262] [FRAG] idx=140 offset=73400320 len=524288 source=13.39.21.10:6000 time_ms=2003 speed_KB/s=255 progress=2%
[2026-03-17 05:22:18.179] [FRAG] idx=141 offset=73924608 len=524288 source=13.39.21.10:6000 time_ms=1916 speed_KB/s=267 progress=2%
[2026-03-17 05:22:20.110] [FRAG] idx=142 offset=74448896 len=524288 source=13.39.21.10:6000 time_ms=1931 speed_KB/s=265 progress=2%
[2026-03-17 05:22:22.120] [FRAG] idx=143 offset=74973184 len=524288 source=13.39.21.10:6000 time_ms=2009 speed_KB/s=254 progress=2%
[2026-03-17 05:22:24.121] [FRAG] idx=144 offset=75497472 len=524288 source=13.39.21.10:6000 time_ms=2001 speed_KB/s=255 progress=2%
[2026-03-17 05:22:26.137] [FRAG] idx=145 offset=76021760 len=524288 source=13.39.21.10:6000 time_ms=2015 speed_KB/s=254 progress=2%
[2026-03-17 05:22:28.136] [FRAG] idx=146 offset=76546048 len=524288 source=13.39.21.10:6000 time_ms=1999 speed_KB/s=256 progress=2%
[2026-03-17 05:22:30.139] [FRAG] idx=147 offset=77070336 len=524288 source=13.39.21.10:6000 time_ms=2002 speed_KB/s=255 progress=2%
[2026-03-17 05:22:32.046] [FRAG] idx=148 offset=77594624 len=524288 source=13.39.21.10:6000 time_ms=1905 speed_KB/s=268 progress=2%
[2026-03-17 05:22:34.037] [FRAG] idx=149 offset=78118912 len=524288 source=13.39.21.10:6000 time_ms=1991 speed_KB/s=257 progress=2%
[2026-03-17 05:22:35.728] [FRAG] idx=150 offset=78643200 len=524288 source=13.39.21.10:6000 time_ms=1691 speed_KB/s=302 progress=2%
[2026-03-17 05:22:37.726] [FRAG] idx=151 offset=79167488 len=524288 source=13.39.21.10:6000 time_ms=1997 speed_KB/s=256 progress=2%
[2026-03-17 05:22:39.724] [FRAG] idx=152 offset=79691776 len=524288 source=13.39.21.10:6000 time_ms=1997 speed_KB/s=256 progress=2%
[2026-03-17 05:22:41.650] [FRAG] idx=153 offset=80216064 len=524288 source=13.39.21.10:6000 time_ms=1925 speed_KB/s=265 progress=2%
[2026-03-17 05:22:43.654] [FRAG] idx=154 offset=80740352 len=524288 source=13.39.21.10:6000 time_ms=2003 speed_KB/s=255 progress=2%
[2026-03-17 05:22:45.637] [FRAG] idx=155 offset=81264640 len=524288 source=13.39.21.10:6000 time_ms=1983 speed_KB/s=258 progress=2%
[2026-03-17 05:22:47.637] [FRAG] idx=156 offset=81788928 len=524288 source=13.39.21.10:6000 time_ms=1999 speed_KB/s=256 progress=2%
[2026-03-17 05:22:49.564] [FRAG] idx=157 offset=82313216 len=524288 source=13.39.21.10:6000 time_ms=1926 speed_KB/s=265 progress=2%
[2026-03-17 05:22:51.493] [FRAG] idx=158 offset=82837504 len=524288 source=13.39.21.10:6000 time_ms=1929 speed_KB/s=265 progress=2%
[2026-03-17 05:22:53.492] [FRAG] idx=159 offset=83361792 len=524288 source=13.39.21.10:6000 time_ms=1997 speed_KB/s=256 progress=2%
[2026-03-17 05:22:55.403] [FRAG] idx=160 offset=83886080 len=524288 source=13.39.21.10:6000 time_ms=1910 speed_KB/s=268 progress=2%
[2026-03-17 05:22:57.411] [FRAG] idx=161 offset=84410368 len=524288 source=13.39.21.10:6000 time_ms=2007 speed_KB/s=255 progress=2%
[2026-03-17 05:22:59.412] [FRAG] idx=162 offset=84934656 len=524288 source=13.39.21.10:6000 time_ms=2000 speed_KB/s=256 progress=2%
[2026-03-17 05:23:01.420] [FRAG] idx=163 offset=85458944 len=524288 source=13.39.21.10:6000 time_ms=2007 speed_KB/s=255 progress=2%
[2026-03-17 05:23:03.326] [FRAG] idx=164 offset=85983232 len=524288 source=13.39.21.10:6000 time_ms=1905 speed_KB/s=268 progress=2%
[2026-03-17 05:23:05.246] [FRAG] idx=165 offset=86507520 len=524288 source=13.39.21.10:6000 time_ms=1920 speed_KB/s=266 progress=2%
[2026-03-17 05:23:07.017] [FRAG] idx=166 offset=87031808 len=524288 source=13.39.21.10:6000 time_ms=1770 speed_KB/s=289 progress=3%
[2026-03-17 05:23:09.023] [FRAG] idx=167 offset=87556096 len=524288 source=13.39.21.10:6000 time_ms=2005 speed_KB/s=255 progress=3%
[2026-03-17 05:23:10.962] [FRAG] idx=168 offset=88080384 len=524288 source=13.39.21.10:6000 time_ms=1939 speed_KB/s=264 progress=3%
[2026-03-17 05:23:12.983] [FRAG] idx=169 offset=88604672 len=524288 source=13.39.21.10:6000 time_ms=2020 speed_KB/s=253 progress=3%
[2026-03-17 05:23:14.980] [FRAG] idx=170 offset=89128960 len=524288 source=13.39.21.10:6000 time_ms=1995 speed_KB/s=256 progress=3%
[2026-03-17 05:23:16.972] [FRAG] idx=171 offset=89653248 len=524288 source=13.39.21.10:6000 time_ms=1992 speed_KB/s=257 progress=3%
