[2026-03-17 05:20:50.999] [Download] === START === file=The.Godfather.Part.2.1974.1080p.BrRip.x264.BOKUTOX.YIFY.mp4 fragment_size=524288 compression=false
[2026-03-17 05:20:51.000] [Download] All sources from Directory:
[2026-03-17 05:20:51.004] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 05:20:51.005] [Download] Using 1 source(s):
[2026-03-17 05:20:51.005] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 05:20:51.256] [Download] File size: 2901310881 bytes (2833311 KB)
[2026-03-17 05:20:51.266] [Download] Fragments: 5534 x 512KB, sources: 1
[2026-03-17 05:22:33.449] [FRAG] idx=86 offset=45088768 len=524288 source=13.39.21.10:6000 time_ms=1153 speed_KB/s=444 progress=1%
[2026-03-17 05:22:34.602] [FRAG] idx=87 offset=45613056 len=524288 source=13.39.21.10:6000 time_ms=1152 speed_KB/s=444 progress=1%
[2026-03-17 05:22:35.758] [FRAG] idx=88 offset=46137344 len=524288 source=13.39.21.10:6000 time_ms=1156 speed_KB/s=442 progress=1%
[2026-03-17 05:22:36.894] [FRAG] idx=89 offset=46661632 len=524288 source=13.39.21.10:6000 time_ms=1134 speed_KB/s=451 progress=1%
[2026-03-17 05:22:38.025] [FRAG] idx=90 offset=47185920 len=524288 source=13.39.21.10:6000 time_ms=1130 speed_KB/s=453 progress=1%
[2026-03-17 05:22:39.111] [FRAG] idx=91 offset=47710208 len=524288 source=13.39.21.10:6000 time_ms=1086 speed_KB/s=471 progress=1%
[2026-03-17 05:22:40.238] [FRAG] idx=92 offset=48234496 len=524288 source=13.39.21.10:6000 time_ms=1126 speed_KB/s=454 progress=1%
[2026-03-17 05:22:41.394] [FRAG] idx=93 offset=48758784 len=524288 source=13.39.21.10:6000 time_ms=1155 speed_KB/s=443 progress=1%
[2026-03-17 05:22:42.554] [FRAG] idx=94 offset=49283072 len=524288 source=13.39.21.10:6000 time_ms=1160 speed_KB/s=441 progress=1%
[2026-03-17 05:22:43.722] [FRAG] idx=95 offset=49807360 len=524288 source=13.39.21.10:6000 time_ms=1167 speed_KB/s=438 progress=1%
[2026-03-17 05:22:44.882] [FRAG] idx=96 offset=50331648 len=524288 source=13.39.21.10:6000 time_ms=1160 speed_KB/s=441 progress=1%
[2026-03-17 05:22:45.954] [FRAG] idx=97 offset=50855936 len=524288 source=13.39.21.10:6000 time_ms=1070 speed_KB/s=478 progress=1%
[2026-03-17 05:22:47.102] [FRAG] idx=98 offset=51380224 len=524288 source=13.39.21.10:6000 time_ms=1147 speed_KB/s=446 progress=1%
[2026-03-17 05:22:48.248] [FRAG] idx=99 offset=51904512 len=524288 source=13.39.21.10:6000 time_ms=1145 speed_KB/s=447 progress=1%
[2026-03-17 05:22:49.400] [FRAG] idx=100 offset=52428800 len=524288 source=13.39.21.10:6000 time_ms=1151 speed_KB/s=444 progress=1%
[2026-03-17 05:22:50.551] [FRAG] idx=101 offset=52953088 len=524288 source=13.39.21.10:6000 time_ms=1150 speed_KB/s=445 progress=1%
[2026-03-17 05:22:51.686] [FRAG] idx=102 offset=53477376 len=524288 source=13.39.21.10:6000 time_ms=1135 speed_KB/s=451 progress=1%
[2026-03-17 05:22:52.847] [FRAG] idx=103 offset=54001664 len=524288 source=13.39.21.10:6000 time_ms=1160 speed_KB/s=441 progress=1%
[2026-03-17 05:22:54.000] [FRAG] idx=104 offset=54525952 len=524288 source=13.39.21.10:6000 time_ms=1152 speed_KB/s=444 progress=1%
[2026-03-17 05:22:55.151] [FRAG] idx=105 offset=55050240 len=524288 source=13.39.21.10:6000 time_ms=1150 speed_KB/s=445 progress=1%
[2026-03-17 05:22:56.303] [FRAG] idx=106 offset=55574528 len=524288 source=13.39.21.10:6000 time_ms=1152 speed_KB/s=444 progress=1%
[2026-03-17 05:22:57.463] [FRAG] idx=107 offset=56098816 len=524288 source=13.39.21.10:6000 time_ms=1159 speed_KB/s=441 progress=1%
[2026-03-17 05:22:58.608] [FRAG] idx=108 offset=56623104 len=524288 source=13.39.21.10:6000 time_ms=1145 speed_KB/s=447 progress=1%
[2026-03-17 05:22:59.685] [FRAG] idx=109 offset=57147392 len=524288 source=13.39.21.10:6000 time_ms=1075 speed_KB/s=476 progress=1%
[2026-03-17 05:23:00.847] [FRAG] idx=110 offset=57671680 len=524288 source=13.39.21.10:6000 time_ms=1162 speed_KB/s=440 progress=2%
[2026-03-17 05:23:01.993] [FRAG] idx=111 offset=58195968 len=524288 source=13.39.21.10:6000 time_ms=1145 speed_KB/s=447 progress=2%
[2026-03-17 05:23:03.144] [FRAG] idx=112 offset=58720256 len=524288 source=13.39.21.10:6000 time_ms=1151 speed_KB/s=444 progress=2%
[2026-03-17 05:23:04.300] [FRAG] idx=113 offset=59244544 len=524288 source=13.39.21.10:6000 time_ms=1155 speed_KB/s=443 progress=2%
[2026-03-17 05:23:05.461] [FRAG] idx=114 offset=59768832 len=524288 source=13.39.21.10:6000 time_ms=1159 speed_KB/s=441 progress=2%
